AFTSCH,WITH_FAMILY,WITHOUT_FAMILY,TOTAL,WITH_FAMILY_PCT,WITHOUT_FAMILY_PCT,WITH_FAMILY_RATIO,WITHOUT_FAMILY_RATIO
1,4169,192,4361,8.419670806826215,11.208406304728546,42.89605527313564,57.10394472686437
2,3553,96,3649,7.175603352519438,5.604203152364273,56.147981190304655,43.85201880969533
3,1658,61,1719,3.348480258507523,3.561004086398132,48.462086189924555,51.53791381007543
4,5796,217,6013,11.705543774613753,12.667834208990076,48.02593954144627,51.974060458553716
5,23510,681,24191,47.48056144602646,39.754816112084065,54.42810333960899,45.57189666039102
6,1596,81,1677,3.2232656770675554,4.728546409807356,40.53498299321998,59.46501700678002
96,6787,283,7070,13.706957487630012,16.520723876240513,45.345712503153415,54.654287496846585
97,453,29,482,0.9148742805210542,1.6929363689433743,35.0820823861941,64.9179176138059
99,1993,73,2066,4.025042916287994,4.261529480443666,48.573073685756086,51.4269263142439
